,County,State,Population,State and County
2931,City of Newport News,VA,"184,691",VA City of Newport News
2932,City of Norfolk,VA,"234,862",VA City of Norfolk
2933,City of Norton,VA,"3,632",VA City of Norton
2934,City of Petersburg,VA,"33,411",VA City of Petersburg
2935,City of Poquoson,VA,"12,628",VA City of Poquoson
2936,City of Portsmouth,VA,"97,652",VA City of Portsmouth
2937,City of Radford,VA,"16,527",VA City of Radford
2938,City of Richmond,VA,"227,140",VA City of Richmond
2939,City of Roanoke,VA,"98,700",VA City of Roanoke
2940,City of Salem,VA,"25,416",VA City of Salem
2941,City of Staunton,VA,"25,689",VA City of Staunton
2942,City of Suffolk,VA,"96,337",VA City of Suffolk
2943,City of Virginia Beach,VA,"458,569",VA City of Virginia Beach
2944,City of Waynesboro,VA,"22,606",VA City of Waynesboro
2945,City of Williamsburg,VA,"15,609",VA City of Williamsburg
2946,City of Winchester,VA,"28,092",VA City of Winchester
2947,Adams,WA,"20,647",WA Adams
2948,Asotin,WA,"22,469",WA Asotin
2949,Benton,WA,"210,599",WA Benton
2950,Chelan,WA,"79,778",WA Chelan
2951,Clallam,WA,"78,466",WA Clallam
2952,Clark,WA,"512,583",WA Clark
2953,Columbia,WA,"4,016",WA Columbia
2954,Cowlitz,WA,"111,685",WA Cowlitz
2955,Douglas,WA,"43,837",WA Douglas
2956,Ferry,WA,"7,290",WA Ferry
2957,Franklin,WA,"98,102",WA Franklin
2958,Garfield,WA,"2,344",WA Garfield
2959,Grant,WA,"100,427",WA Grant
2960,Grays Harbor,WA,"76,838",WA Grays Harbor
2961,Island,WA,"87,566",WA Island
2962,Jefferson,WA,"33,553",WA Jefferson
2963,King,WA,"2,252,980",WA King
2964,Kitsap,WA,"276,589",WA Kitsap
2965,Kittitas,WA,"44,645",WA Kittitas
2966,Klickitat,WA,"23,167",WA Klickitat
2967,Lewis,WA,"84,569",WA Lewis
2968,Lincoln,WA,"11,284",WA Lincoln
2969,Mason,WA,"67,246",WA Mason
2970,Okanogan,WA,"42,772",WA Okanogan
2971,Pacific,WA,"23,993",WA Pacific
2972,Pend Oreille,WA,"13,891",WA Pend Oreille
2973,Pierce,WA,"927,402",WA Pierce
2974,San Juan,WA,"18,618",WA San Juan
2975,Skagit,WA,"131,005",WA Skagit
2976,Skamania,WA,"12,209",WA Skamania
2977,Snohomish,WA,"836,097",WA Snohomish
2978,Spokane,WA,"545,510",WA Spokane
2979,Stevens,WA,"47,619",WA Stevens
2980,Thurston,WA,"298,196",WA Thurston
2981,Wahkiakum,WA,"4,586",WA Wahkiakum
2982,Walla Walla,WA,"62,211",WA Walla Walla
2983,Whatcom,WA,"226,701",WA Whatcom
2984,Whitman,WA,"43,224",WA Whitman
2985,Yakima,WA,"256,719",WA Yakima
2986,Barbour,WV,"15,449",WV Barbour
2987,Berkeley,WV,"126,180",WV Berkeley
2988,Boone,WV,"21,353",WV Boone
2989,Braxton,WV,"12,296",WV Braxton
2990,Brooke,WV,"22,068",WV Brooke
2991,Cabell,WV,"93,408",WV Cabell
2992,Calhoun,WV,"6,173",WV Calhoun
2993,Clay,WV,"7,905",WV Clay
2994,Doddridge,WV,"7,738",WV Doddridge
2995,Fayette,WV,"40,036",WV Fayette
2996,Gilmer,WV,"7,392",WV Gilmer
2997,Grant,WV,"10,992",WV Grant
2998,Greenbrier,WV,"32,687",WV Greenbrier
2999,Hampshire,WV,"23,360",WV Hampshire
3000,Hancock,WV,"28,595",WV Hancock
3001,Hardy,WV,"14,143",WV Hardy
3002,Harrison,WV,"65,402",WV Harrison
3003,Jackson,WV,"27,781",WV Jackson
3004,Jefferson,WV,"58,541",WV Jefferson
3005,Kanawha,WV,"178,073",WV Kanawha
3006,Lewis,WV,"16,874",WV Lewis
3007,Lincoln,WV,"20,188",WV Lincoln
3008,Logan,WV,"31,846",WV Logan
3009,McDowell,WV,"18,406",WV McDowell
3010,Marion,WV,"56,053",WV Marion
3011,Marshall,WV,"30,164",WV Marshall
3012,Mason,WV,"25,266",WV Mason
3013,Mercer,WV,"59,156",WV Mercer
3014,Mineral,WV,"26,897",WV Mineral
3015,Mingo,WV,"23,052",WV Mingo
3016,Monongalia,WV,"106,521",WV Monongalia
3017,Monroe,WV,"12,388",WV Monroe
3018,Morgan,WV,"17,300",WV Morgan
3019,Nicholas,WV,"24,429",WV Nicholas
3020,Ohio,WV,"41,846",WV Ohio
3021,Pendleton,WV,"6,093",WV Pendleton
3022,Pleasants,WV,"7,604",WV Pleasants
3023,Pocahontas,WV,"7,882",WV Pocahontas
3024,Preston,WV,"34,304",WV Preston
3025,Putnam,WV,"57,359",WV Putnam
3026,Raleigh,WV,"73,779",WV Raleigh
3027,Randolph,WV,"27,898",WV Randolph
3028,Ritchie,WV,"8,410",WV Ritchie
3029,Roane,WV,"13,932",WV Roane
3030,Summers,WV,"11,865",WV Summers
3031,Taylor,WV,"16,528",WV Taylor
3032,Tucker,WV,"6,693",WV Tucker
3033,Tyler,WV,"8,205",WV Tyler
3034,Upshur,WV,"23,803",WV Upshur
3035,Wayne,WV,"38,564",WV Wayne
3036,Webster,WV,"8,271",WV Webster
3037,Wetzel,WV,"14,202",WV Wetzel
3038,Wirt,WV,"5,066",WV Wirt
3039,Wood,WV,"83,804",WV Wood
3040,Wyoming,WV,"21,029",WV Wyoming
3041,Adams,WI,"20,837",WI Adams
3042,Ashland,WI,"16,048",WI Ashland
3043,Barron,WI,"46,709",WI Barron
3044,Bayfield,WI,"16,322",WI Bayfield
3045,Brown,WI,"268,899",WI Brown
3046,Buffalo,WI,"13,325",WI Buffalo
3047,Burnett,WI,"16,755",WI Burnett
3048,Calumet,WI,"52,583",WI Calumet
3049,Chippewa,WI,"66,590",WI Chippewa
3050,Clark,WI,"34,762",WI Clark
3051,Columbia,WI,"58,445",WI Columbia
3052,Crawford,WI,"16,097",WI Crawford
3053,Dane,WI,"561,542",WI Dane
3054,Dodge,WI,"88,689",WI Dodge
3055,Door,WI,"30,425",WI Door
3056,Douglas,WI,"44,055",WI Douglas
3057,Dunn,WI,"44,518",WI Dunn
3058,Eau Claire,WI,"106,017",WI Eau Claire
3059,Florence,WI,"4,593",WI Florence
3060,Fond du Lac,WI,"104,116",WI Fond du Lac
3061,Forest,WI,"9,257",WI Forest
3062,Grant,WI,"51,296",WI Grant
3063,Green,WI,"37,066",WI Green
3064,Green Lake,WI,"19,249",WI Green Lake
3065,Iowa,WI,"23,807",WI Iowa
3066,Iron,WI,"6,172",WI Iron
3067,Jackson,WI,"20,915",WI Jackson
3068,Jefferson,WI,"85,782",WI Jefferson
3069,Juneau,WI,"26,763",WI Juneau
3070,Kenosha,WI,"168,414",WI Kenosha
3071,Kewaunee,WI,"20,589",WI Kewaunee
3072,La Crosse,WI,"119,331",WI La Crosse
3073,Lafayette,WI,"16,830",WI Lafayette
3074,Langlade,WI,"19,479",WI Langlade
3075,Lincoln,WI,"28,457",WI Lincoln
3076,Manitowoc,WI,"81,506",WI Manitowoc
3077,Marathon,WI,"137,755",WI Marathon
3078,Marinette,WI,"41,858",WI Marinette
3079,Marquette,WI,"15,784",WI Marquette
3080,Menominee,WI,"4,297",WI Menominee
3081,Milwaukee,WI,"924,276",WI Milwaukee
3082,Monroe,WI,"46,083",WI Monroe
3083,Oconto,WI,"39,421",WI Oconto
3084,Oneida,WI,"38,249",WI Oneida
3085,Outagamie,WI,"191,320",WI Outagamie
3086,Ozaukee,WI,"92,600",WI Ozaukee
3087,Pepin,WI,"7,374",WI Pepin
3088,Pierce,WI,"41,606",WI Pierce
3089,Polk,WI,"45,466",WI Polk
3090,Portage,WI,"69,433",WI Portage
3091,Price,WI,"14,048",WI Price
3092,Racine,WI,"196,505",WI Racine
3093,Richland,WI,"17,199",WI Richland
3094,Rock,WI,"164,115",WI Rock
3095,Rusk,WI,"14,085",WI Rusk
3096,St Croix,WI,"94,998",WI St Croix
3097,Sauk,WI,"65,702",WI Sauk
3098,Sawyer,WI,"18,226",WI Sawyer
3099,Shawano,WI,"40,829",WI Shawano
3100,Sheboygan,WI,"117,687",WI Sheboygan
3101,Taylor,WI,"19,938",WI Taylor
3102,Trempealeau,WI,"30,723",WI Trempealeau
3103,Vernon,WI,"30,917",WI Vernon
3104,Vilas,WI,"23,508",WI Vilas
3105,Walworth,WI,"105,296",WI Walworth
3106,Washburn,WI,"16,748",WI Washburn
3107,Washington,WI,"137,253",WI Washington
3108,Waukesha,WI,"409,108",WI Waukesha
3109,Waupaca,WI,"51,986",WI Waupaca
3110,Waushara,WI,"24,760",WI Waushara
3111,Winnebago,WI,"170,580",WI Winnebago
3112,Wood,WI,"74,005",WI Wood
3113,Albany,WY,"37,854",WY Albany
3114,Big Horn,WY,"11,643",WY Big Horn
3115,Campbell,WY,"46,543",WY Campbell
3116,Carbon,WY,"14,714",WY Carbon
3117,Converse,WY,"13,662",WY Converse
3118,Crook,WY,"7,308",WY Crook
3119,Fremont,WY,"39,416",WY Fremont
3120,Goshen,WY,"12,568",WY Goshen
3121,Hot Springs,WY,"4,595",WY Hot Springs
3122,Johnson,WY,"8,624",WY Johnson
3123,Laramie,WY,"100,827",WY Laramie
3124,Lincoln,WY,"20,173",WY Lincoln
3125,Natrona,WY,"79,635",WY Natrona
3126,Niobrara,WY,"2,416",WY Niobrara
3127,Park,WY,"30,141",WY Park
3128,Platte,WY,"8,677",WY Platte
3129,Sheridan,WY,"31,653",WY Sheridan
3130,Sublette,WY,"8,722",WY Sublette
3131,Sweetwater,WY,"41,626",WY Sweetwater
3132,Teton,WY,"23,605",WY Teton
3133,Uinta,WY,"20,681",WY Uinta
3134,Washakie,WY,"7,719",WY Washakie
3135,Weston,WY,"6,746",WY Weston
