,County,State,Population,State and County
2085,Madison,OH,"44,428",OH Madison
2086,Mahoning,OH,"226,529",OH Mahoning
2087,Marion,OH,"65,310",OH Marion
2088,Medina,OH,"183,394",OH Medina
2089,Meigs,OH,"22,078",OH Meigs
2090,Mercer,OH,"42,392",OH Mercer
2091,Miami,OH,"109,411",OH Miami
2092,Monroe,OH,"13,331",OH Monroe
2093,Montgomery,OH,"536,155",OH Montgomery
2094,Morgan,OH,"13,703",OH Morgan
2095,Morrow,OH,"35,205",OH Morrow
2096,Muskingum,OH,"86,577",OH Muskingum
2097,Noble,OH,"14,309",OH Noble
2098,Ottawa,OH,"40,166",OH Ottawa
2099,Paulding,OH,"18,902",OH Paulding
2100,Perry,OH,"35,464",OH Perry
2101,Pickaway,OH,"58,765",OH Pickaway
2102,Pike,OH,"27,094",OH Pike
2103,Portage,OH,"159,076",OH Portage
2104,Preble,OH,"40,871",OH Preble
2105,Putnam,OH,"34,341",OH Putnam
2106,Richland,OH,"125,341",OH Richland
2107,Ross,OH,"76,500",OH Ross
2108,Sandusky,OH,"58,741",OH Sandusky
2109,Scioto,OH,"72,989",OH Scioto
2110,Seneca,OH,"54,864",OH Seneca
2111,Shelby,OH,"48,023",OH Shelby
2112,Stark,OH,"373,792",OH Stark
2113,Summit,OH,"537,436",OH Summit
2114,Trumbull,OH,"201,572",OH Trumbull
2115,Tuscarawas,OH,"92,618",OH Tuscarawas
2116,Union,OH,"65,106",OH Union
2117,Van Wert,OH,"28,784",OH Van Wert
2118,Vinton,OH,"12,703",OH Vinton
2119,Warren,OH,"246,828",OH Warren
2120,Washington,OH,"59,486",OH Washington
2121,Wayne,OH,"116,175",OH Wayne
2122,Williams,OH,"36,763",OH Williams
2123,Wood,OH,"130,310",OH Wood
2124,Wyandot,OH,"21,689",OH Wyandot
2125,Adair,OK,"19,442",OK Adair
2126,Alfalfa,OK,"5,695",OK Alfalfa
2127,Atoka,OK,"14,294",OK Atoka
2128,Beaver,OK,"4,994",OK Beaver
2129,Beckham,OK,"22,032",OK Beckham
2130,Blaine,OK,"8,547",OK Blaine
2131,Bryan,OK,"47,126",OK Bryan
2132,Caddo,OK,"26,461",OK Caddo
2133,Canadian,OK,"161,999",OK Canadian
2134,Carter,OK,"48,254",OK Carter
2135,Cherokee,OK,"47,659",OK Cherokee
2136,Choctaw,OK,"14,363",OK Choctaw
2137,Cimarron,OK,"2,247",OK Cimarron
2138,Cleveland,OK,"298,110",OK Cleveland
2139,Coal,OK,"5,304",OK Coal
2140,Comanche,OK,"122,324",OK Comanche
2141,Cotton,OK,"5,442",OK Cotton
2142,Craig,OK,"14,201",OK Craig
2143,Creek,OK,"72,224",OK Creek
2144,Custer,OK,"28,175",OK Custer
2145,Delaware,OK,"40,970",OK Delaware
2146,Dewey,OK,"4,418",OK Dewey
2147,Ellis,OK,"3,733",OK Ellis
2148,Garfield,OK,"61,964",OK Garfield
2149,Garvin,OK,"25,770",OK Garvin
2150,Grady,OK,"55,595",OK Grady
2151,Grant,OK,"4,145",OK Grant
2152,Greer,OK,"5,480",OK Greer
2153,Harmon,OK,"2,403",OK Harmon
2154,Harper,OK,"3,177",OK Harper
2155,Haskell,OK,"11,615",OK Haskell
2156,Hughes,OK,"13,401",OK Hughes
2157,Jackson,OK,"24,744",OK Jackson
2158,Jefferson,OK,"5,390",OK Jefferson
2159,Johnston,OK,"10,332",OK Johnston
2160,Kay,OK,"43,715",OK Kay
2161,Kingfisher,OK,"15,223",OK Kingfisher
2162,Kiowa,OK,"8,404",OK Kiowa
2163,Latimer,OK,"9,454",OK Latimer
2164,Le Flore,OK,"48,603",OK Le Flore
2165,Lincoln,OK,"33,846",OK Lincoln
2166,Logan,OK,"50,900",OK Logan
2167,Love,OK,"10,237",OK Love
2168,McClain,OK,"43,535",OK McClain
2169,McCurtain,OK,"30,824",OK McCurtain
2170,McIntosh,OK,"19,249",OK McIntosh
2171,Major,OK,"7,636",OK Major
2172,Marshall,OK,"15,552",OK Marshall
2173,Mayes,OK,"39,259",OK Mayes
2174,Murray,OK,"13,716",OK Murray
2175,Muskogee,OK,"66,267",OK Muskogee
2176,Noble,OK,"10,941",OK Noble
2177,Nowata,OK,"9,352",OK Nowata
2178,Okfuskee,OK,"11,222",OK Okfuskee
2179,Oklahoma,OK,"799,845",OK Oklahoma
2180,Okmulgee,OK,"36,848",OK Okmulgee
2181,Osage,OK,"45,882",OK Osage
2182,Ottawa,OK,"30,380",OK Ottawa
2183,Pawnee,OK,"15,707",OK Pawnee
2184,Payne,OK,"82,163",OK Payne
2185,Pittsburg,OK,"43,630",OK Pittsburg
2186,Pontotoc,OK,"38,184",OK Pontotoc
2187,Pottawatomie,OK,"73,045",OK Pottawatomie
2188,Pushmataha,OK,"10,767",OK Pushmataha
2189,Roger Mills,OK,"3,365",OK Roger Mills
2190,Rogers,OK,"96,871",OK Rogers
2191,Seminole,OK,"23,542",OK Seminole
2192,Sequoyah,OK,"39,494",OK Sequoyah
2193,Stephens,OK,"43,110",OK Stephens
2194,Texas,OK,"20,849",OK Texas
2195,Tillman,OK,"7,040",OK Tillman
2196,Tulsa,OK,"674,051",OK Tulsa
2197,Wagoner,OK,"84,230",OK Wagoner
2198,Washington,OK,"52,903",OK Washington
2199,Washita,OK,"10,899",OK Washita
2200,Woods,OK,"8,623",OK Woods
2201,Woodward,OK,"20,241",OK Woodward
2202,Baker,OR,"16,880",OR Baker
2203,Benton,OR,"96,321",OR Benton
2204,Clackamas,OR,"423,804",OR Clackamas
2205,Clatsop,OR,"41,932",OR Clatsop
2206,Columbia,OR,"53,202",OR Columbia
2207,Coos,OR,"65,126",OR Coos
2208,Crook,OR,"25,762",OR Crook
2209,Curry,OR,"23,719",OR Curry
2210,Deschutes,OR,"205,283",OR Deschutes
2211,Douglas,OR,"112,149",OR Douglas
2212,Gilliam,OR,"2,013",OR Gilliam
2213,Grant,OR,"7,288",OR Grant
2214,Harney,OR,"7,602",OR Harney
2215,Hood River,OR,"24,086",OR Hood River
2216,Jackson,OR,"224,353",OR Jackson
2217,Jefferson,OR,"25,105",OR Jefferson
2218,Josephine,OR,"88,637",OR Josephine
2219,Klamath,OR,"70,246",OR Klamath
2220,Lake,OR,"8,290",OR Lake
2221,Lane,OR,"384,121",OR Lane
2222,Lincoln,OR,"51,013",OR Lincoln
2223,Linn,OR,"130,120",OR Linn
2224,Malheur,OR,"31,677",OR Malheur
2225,Marion,OR,"347,851",OR Marion
2226,Morrow,OR,"12,359",OR Morrow
2227,Multnomah,OR,"805,319",OR Multnomah
2228,Polk,OR,"89,373",OR Polk
2229,Sherman,OR,"1,907",OR Sherman
2230,Tillamook,OR,"27,808",OR Tillamook
2231,Umatilla,OR,"80,153",OR Umatilla
2232,Union,OR,"26,288",OR Union
2233,Wallowa,OR,"7,558",OR Wallowa
2234,Wasco,OR,"26,739",OR Wasco
2235,Washington,OR,"602,453",OR Washington
2236,Wheeler,OR,"1,447",OR Wheeler
2237,Yamhill,OR,"108,481",OR Yamhill
2238,Adams,PA,"105,686",PA Adams
2239,Allegheny,PA,"1,245,220",PA Allegheny
2240,Armstrong,PA,"65,212",PA Armstrong
2241,Beaver,PA,"166,967",PA Beaver
2242,Bedford,PA,"47,487",PA Bedford
2243,Berks,PA,"429,635",PA Berks
2244,Blair,PA,"122,150",PA Blair
2245,Bradford,PA,"60,137",PA Bradford
2246,Bucks,PA,"647,397",PA Bucks
2247,Butler,PA,"196,759",PA Butler
2248,Cambria,PA,"132,237",PA Cambria
2249,Cameron,PA,"4,458",PA Cameron
2250,Carbon,PA,"65,522",PA Carbon
2251,Centre,PA,"157,984",PA Centre
2252,Chester,PA,"540,939",PA Chester
2253,Clarion,PA,"37,594",PA Clarion
2254,Clearfield,PA,"78,335",PA Clearfield
2255,Clinton,PA,"38,015",PA Clinton
2256,Columbia,PA,"64,981",PA Columbia
2257,Crawford,PA,"83,209",PA Crawford
2258,Cumberland,PA,"265,537",PA Cumberland
2259,Dauphin,PA,"288,252",PA Dauphin
2260,Delaware,PA,"576,892",PA Delaware
2261,Elk,PA,"30,796",PA Elk
2262,Erie,PA,"269,257",PA Erie
2263,Fayette,PA,"127,122",PA Fayette
2264,Forest,PA,"6,890",PA Forest
2265,Franklin,PA,"156,573",PA Franklin
2266,Fulton,PA,"14,551",PA Fulton
2267,Greene,PA,"35,284",PA Greene
2268,Huntingdon,PA,"43,958",PA Huntingdon
2269,Indiana,PA,"83,201",PA Indiana
2270,Jefferson,PA,"44,120",PA Jefferson
2271,Juniata,PA,"23,355",PA Juniata
2272,Lackawanna,PA,"216,043",PA Lackawanna
2273,Lancaster,PA,"556,292",PA Lancaster
2274,Lawrence,PA,"85,554",PA Lawrence
2275,Lebanon,PA,"143,759",PA Lebanon
2276,Lehigh,PA,"375,889",PA Lehigh
2277,Luzerne,PA,"325,942",PA Luzerne
2278,Lycoming,PA,"113,561",PA Lycoming
2279,McKean,PA,"40,317",PA McKean
2280,Mercer,PA,"109,958",PA Mercer
2281,Mifflin,PA,"46,171",PA Mifflin
2282,Monroe,PA,"168,676",PA Monroe
2283,Montgomery,PA,"864,249",PA Montgomery
