Unnamed: 0,GeoName,GeoFIPS,Quantity index,Thousands of chained 2012 dollars,Thousands of dollars,County,State,State and County
1696,"Logan, AR"," ""05083""",93.996,485947,546029,Logan,AR,AR Logan
1707,"Lonoke, AR"," ""05085""",105.155,1257541,1589652,Lonoke,AR,AR Lonoke
1748,"Madison, AR"," ""05087""",133.202,421198,479132,Madison,AR,AR Madison
1783,"Marion, AR"," ""05089""",153.287,529075,620325,Marion,AR,AR Marion
1915,"Miller, AR"," ""05091""",97.848,1222230,1504805,Miller,AR,AR Miller
1930,"Mississippi, AR"," ""05093""",127.768,2794555,3332087,Mississippi,AR,AR Mississippi
1948,"Monroe, AR"," ""05095""",80.906,178275,226957,Monroe,AR,AR Monroe
1970,"Montgomery, AR"," ""05097""",79.853,127442,156782,Montgomery,AR,AR Montgomery
2049,"Nevada, AR"," ""05099""",96.623,223656,263629,Nevada,AR,AR Nevada
2062,"Newton, AR"," ""05101""",93.427,91809,117420,Newton,AR,AR Newton
2163,"Ouachita, AR"," ""05103""",91.976,557656,704390,Ouachita,AR,AR Ouachita
2219,"Perry, AR"," ""05105""",110.022,143465,172435,Perry,AR,AR Perry
2236,"Phillips, AR"," ""05107""",97.493,493915,641692,Phillips,AR,AR Phillips
2252,"Pike, AR"," ""05109""",112.292,236014,299473,Pike,AR,AR Pike
2284,"Poinsett, AR"," ""05111""",101.282,555463,687775,Poinsett,AR,AR Poinsett
2286,"Polk, AR"," ""05113""",119.578,548628,672076,Polk,AR,AR Polk
2301,"Pope, AR"," ""05115""",101.795,2650885,3347225,Pope,AR,AR Pope
2320,"Prairie, AR"," ""05117""",103.211,186113,224161,Prairie,AR,AR Prairie
2338,"Pulaski, AR"," ""05119""",110.386,27383801,33134697,Pulaski,AR,AR Pulaski
2369,"Randolph, AR"," ""05121""",132.647,493477,601344,Randolph,AR,AR Randolph
2478,"Saline, AR"," ""05125""",112.961,2375427,3014597,Saline,AR,AR Saline
2535,"Scott, AR"," ""05127""",129.596,301468,361942,Scott,AR,AR Scott
2549,"Searcy, AR"," ""05129""",119.556,159716,206807,Searcy,AR,AR Searcy
2550,"Sebastian, AR"," ""05131""",102.194,6255361,7515124,Sebastian,AR,AR Sebastian
