GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01023","Choctaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",122.558,107.643,101.241,117.092,129.768,138.534,117.073,112.399,75.342,79.997,87.481,106.335,107.285,105.816,99.944,98.278,100.000,108.393,100.631,100.902,103.180,109.917
 "01023","Choctaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",511888,446631,420153,487950,557194,623221,539832,543932,361491,398061,450901,550697,571104,566223,537646,528321,556183,618087,573825,567074,623207,750095
 "01025","Clarke, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",742113,745494,750162,818725,856076,902317,888577,853155,835575,801341,812232,857184,887361,850445,837406,837026,814115,843518,835887,848612,845024,817215
 "01025","Clarke, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.156,91.571,92.144,100.566,105.154,110.834,109.146,104.795,102.636,98.431,99.769,105.290,108.997,104.463,102.861,102.814,100.000,103.612,102.674,104.237,103.797,100.381
 "01025","Clarke, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",541887,550097,563677,633205,677555,733359,737925,725202,718248,704690,721383,772672,824887,811309,804532,814231,814115,870605,868734,902889,1001880,1058878
 "01027","Clay, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",340212,343192,321596,357427,397128,434277,360427,334083,309592,316061,290649,298475,322500,333599,349612,366304,393577,467788,425949,425117,433167,433948
 "01027","Clay, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.441,87.198,81.711,90.815,100.902,110.341,91.577,84.884,78.661,80.305,73.848,75.836,81.941,84.761,88.829,93.070,100.000,118.855,108.225,108.014,110.059,110.257
 "01027","Clay, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",255894,264082,251112,281548,316434,351768,304342,286892,275099,282307,263437,278603,306433,321812,342253,362615,393577,470352,444690,458658,474470,519697
 "01029","Cleburne, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",337536,277091,272815,285545,299969,279340,257550,273355,261249,271296,243426,269537,286662,307069,324040,313851,302289,308867,285759,280954,316333,332525
 "01029","Cleburne, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",111.660,91.664,90.250,94.461,99.233,92.408,85.200,90.428,86.423,89.747,80.527,89.165,94.831,101.581,107.195,103.825,100.000,102.176,94.532,92.942,104.646,110.002
 "01029","Cleburne, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",253653,211151,213881,238242,253145,246652,241446,260392,232302,250978,235657,261663,281106,306940,315549,300130,302289,317240,295019,289540,359660,420383
